
---------- Begin Simulation Statistics ----------
simSeconds                                   0.279972                       # Number of seconds simulated (Second)
simTicks                                 279971790000                       # Number of ticks simulated (Tick)
finalTick                                279971790000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  38057.43                       # Real time elapsed on the host (Second)
hostTickRate                                  7356561                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   10449760                       # Number of bytes of host memory used (Byte)
simInsts                                   3195112368                       # Number of instructions simulated (Count)
simOps                                     6091087680                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    83955                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     160050                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       559126202                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      385401329                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    2068                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     392393672                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 24163                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             4710417                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          5516167                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                337                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          554981938                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.707039                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.579813                       # Number of insts issued each cycle (Count)
system.cpu4.dcache.WriteReq.mshrHits::total        74933                       # number of WriteReq MSHR hits (Count)
system.cpu4.dcache.WriteReq.mshrMisses::cpu04.data      2546292                       # number of WriteReq MSHR misses (Count)
system.cpu4.dcache.WriteReq.mshrMisses::total      2546292                       # number of WriteReq MSHR misses (Count)
system.cpu4.dcache.WriteReq.mshrMissLatency::cpu04.data 171016169679                       # number of WriteReq MSHR miss ticks (Tick)
system.cpu4.dcache.WriteReq.mshrMissLatency::total 171016169679                       # number of WriteReq MSHR miss ticks (Tick)
system.cpu4.dcache.WriteReq.mshrMissRate::cpu04.data     0.082124                       # mshr miss rate for WriteReq accesses (Ratio)
system.cpu4.dcache.WriteReq.mshrMissRate::total     0.082124                       # mshr miss rate for WriteReq accesses (Ratio)
system.cpu4.dcache.WriteReq.avgMshrMissLatency::cpu04.data 67162.827232                       # average WriteReq mshr miss latency ((Tick/Count))
system.cpu4.dcache.WriteReq.avgMshrMissLatency::total 67162.827232                       # average WriteReq mshr miss latency ((Tick/Count))
system.cpu4.dcache.power_state.pwrStateResidencyTicks::UNDEFINED 279971790000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu4.dcache.tags.tagsInUse           15.999869                       # Average ticks per tags in use ((Tick/Count))
system.cpu4.dcache.tags.totalRefs            60212276                       # Total number of references to valid blocks. (Count)
system.cpu4.dcache.tags.sampledRefs           9910294                       # Sample count of references to valid blocks. (Count)
system.cpu4.dcache.tags.avgRefs              6.075731                       # Average number of references to valid blocks. ((Count/Count))
system.cpu4.dcache.tags.warmupTick             283500                       # The tick when the warmup percentage was hit. (Tick)
system.cpu4.dcache.tags.occupancies::cpu04.data    15.999869                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.cpu4.dcache.tags.avgOccs::cpu04.data     0.999992                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu4.dcache.tags.avgOccs::total       0.999992                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu4.dcache.tags.occupanciesTaskId::1024           16                       # Occupied blocks per task id (Count)
system.cpu4.dcache.tags.ageTaskId_1024::2           16                       # Occupied blocks per task id, per block age (Count)
system.cpu4.dcache.tags.ratioOccsTaskId::1024            1                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.cpu4.dcache.tags.tagAccesses         140928246                       # Number of tag accesses (Count)
system.cpu4.dcache.tags.dataAccesses        140928246                       # Number of data accesses (Count)
system.cpu4.dcache.tags.power_state.pwrStateResidencyTicks::UNDEFINED 279971790000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu4.decode.idleCycles                12116831                       # Number of cycles decode is idle (Cycle)
system.cpu4.decode.blockedCycles            492648349                       # Number of cycles decode is blocked (Cycle)
system.cpu4.decode.runCycles                 37373395                       # Number of cycles decode is running (Cycle)
system.cpu4.decode.unblockCycles             15615692                       # Number of cycles decode is unblocking (Cycle)
system.cpu4.decode.squashCycles                 59073                       # Number of cycles decode is squashing (Cycle)
system.cpu4.decode.branchResolved            14173633                       # Number of times decode resolved a branch (Count)
system.cpu4.decode.branchMispred                 1881                       # Number of times decode detected a branch misprediction (Count)
system.cpu4.decode.decodedInsts             386008361                       # Number of instructions handled by decode (Count)
system.cpu4.decode.squashedInsts                 9123                       # Number of squashed instructions handled by decode (Count)
system.cpu4.dtb_walker_cache.blockedCycles::no_mshrs            0                       # number of cycles access was blocked (Cycle)
system.cpu4.dtb_walker_cache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu4.dtb_walker_cache.blockedCauses::no_mshrs            0                       # number of times access was blocked (Count)
system.cpu4.dtb_walker_cache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu4.dtb_walker_cache.avgBlocked::no_mshrs          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu4.dtb_walker_cache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu4.dtb_walker_cache.replacements            0                       # number of replacements (Count)
system.cpu4.dtb_walker_cache.power_state.pwrStateResidencyTicks::UNDEFINED 279971790000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu4.dtb_walker_cache.tags.tagsInUse            0                       # Average ticks per tags in use ((Tick/Count))
system.cpu4.dtb_walker_cache.tags.totalRefs            0                       # Total number of references to valid blocks. (Count)
system.cpu4.dtb_walker_cache.tags.sampledRefs            0                       # Sample count of references to valid blocks. (Count)
system.cpu4.dtb_walker_cache.tags.avgRefs          nan                       # Average number of references to valid blocks. ((Count/Count))
system.cpu4.dtb_walker_cache.tags.warmupTick            0                       # The tick when the warmup percentage was hit. (Tick)
system.cpu4.dtb_walker_cache.tags.tagAccesses            0                       # Number of tag accesses (Count)
system.cpu4.dtb_walker_cache.tags.dataAccesses            0                       # Number of data accesses (Count)
system.cpu4.dtb_walker_cache.tags.power_state.pwrStateResidencyTicks::UNDEFINED 279971790000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu4.fetch.icacheStallCycles          32433459                       # Number of cycles fetch is stalled on an Icache miss (Cycle)
system.cpu4.fetch.insts                     203645180                       # Number of instructions fetch has processed (Count)
system.cpu4.fetch.branches                   41610050                       # Number of branches that fetch encountered (Count)
system.cpu4.fetch.predictedBranches          24181216                       # Number of branches that fetch has predicted taken (Count)
system.cpu4.fetch.cycles                    525286621                       # Number of cycles fetch has run and was not squashing or blocked (Cycle)
system.cpu4.fetch.squashCycles                 121790                       # Number of cycles fetch has spent squashing (Cycle)
system.cpu4.fetch.miscStallCycles                4239                       # Number of cycles fetch has spent waiting on interrupts, or bad addresses, or out of MSHRs (Cycle)
system.cpu4.fetch.pendingTrapStallCycles        26405                       # Number of stall cycles due to pending traps (Cycle)
system.cpu4.fetch.pendingQuiesceStallCycles          140                       # Number of stall cycles due to pending quiesce instructions (Cycle)
system.cpu4.fetch.icacheWaitRetryStallCycles         1581                       # Number of stall cycles due to full MSHR (Cycle)
system.cpu4.fetch.cacheLines                 32003062                       # Number of cache lines fetched (Count)
system.cpu4.fetch.icacheSquashes                 7723                       # Number of outstanding Icache misses that were squashed (Count)
system.cpu4.fetch.nisnDist::samples         557813340                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu4.fetch.nisnDist::mean             0.695093                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu4.fetch.nisnDist::stdev            2.047485                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu4.fetch.nisnDist::underflows              0      0.00%      0.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu4.fetch.nisnDist::0               490863298     88.00%     88.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu4.fetch.nisnDist::1                 3918497      0.70%     88.70% # Number of instructions fetched each cycle (Total) (Count)
system.cpu4.fetch.nisnDist::2                 3516345      0.63%     89.33% # Number of instructions fetched each cycle (Total) (Count)
system.cpu4.fetch.nisnDist::3                 4879368      0.87%     90.21% # Number of instructions fetched each cycle (Total) (Count)
system.cpu4.fetch.nisnDist::4                10048566      1.80%     92.01% # Number of instructions fetched each cycle (Total) (Count)
system.cpu4.fetch.nisnDist::5                 7813872      1.40%     93.41% # Number of instructions fetched each cycle (Total) (Count)
system.cpu4.fetch.nisnDist::6                 3035479      0.54%     93.95% # Number of instructions fetched each cycle (Total) (Count)
system.cpu4.fetch.nisnDist::7                 5236944      0.94%     94.89% # Number of instructions fetched each cycle (Total) (Count)
system.cpu4.fetch.nisnDist::8                28500971      5.11%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu4.fetch.nisnDist::overflows               0      0.00%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu4.fetch.nisnDist::min_value               0                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu4.fetch.nisnDist::max_value               8                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu4.fetch.nisnDist::total           557813340                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu4.fetch.branchRate                 0.074478                       # Number of branch fetches per cycle (Ratio)
system.cpu4.fetch.rate                       0.364504                       # Number of inst fetches per cycle ((Count/Cycle))
system.cpu4.icache.demandHits::cpu04.inst     31994751                       # number of demand (read+write) hits (Count)
system.cpu4.icache.demandHits::total         31994751                       # number of demand (read+write) hits (Count)
system.cpu4.icache.overallHits::cpu04.inst     31994751                       # number of overall hits (Count)
system.cpu4.icache.overallHits::total        31994751                       # number of overall hits (Count)
system.cpu4.icache.demandMisses::cpu04.inst         8301                       # number of demand (read+write) misses (Count)
system.cpu4.icache.demandMisses::total           8301                       # number of demand (read+write) misses (Count)
system.cpu4.icache.overallMisses::cpu04.inst         8301                       # number of overall misses (Count)
system.cpu4.icache.overallMisses::total          8301                       # number of overall misses (Count)
system.cpu4.icache.demandMissLatency::cpu04.inst   1049124445                       # number of demand (read+write) miss ticks (Tick)
system.cpu4.icache.demandMissLatency::total   1049124445                       # number of demand (read+write) miss ticks (Tick)
system.cpu4.icache.overallMissLatency::cpu04.inst   1049124445                       # number of overall miss ticks (Tick)
system.cpu4.icache.overallMissLatency::total   1049124445                       # number of overall miss ticks (Tick)
system.cpu4.icache.demandAccesses::cpu04.inst     32003052                       # number of demand (read+write) accesses (Count)
system.cpu4.icache.demandAccesses::total     32003052                       # number of demand (read+write) accesses (Count)
system.cpu4.icache.overallAccesses::cpu04.inst     32003052                       # number of overall (read+write) accesses (Count)
system.cpu4.icache.overallAccesses::total     32003052                       # number of overall (read+write) accesses (Count)
system.cpu4.icache.demandMissRate::cpu04.inst     0.000259                       # miss rate for demand accesses (Ratio)
system.cpu4.icache.demandMissRate::total     0.000259                       # miss rate for demand accesses (Ratio)
system.cpu4.icache.overallMissRate::cpu04.inst     0.000259                       # miss rate for overall accesses (Ratio)
system.cpu4.icache.overallMissRate::total     0.000259                       # miss rate for overall accesses (Ratio)
system.cpu4.icache.demandAvgMissLatency::cpu04.inst 126385.308397                       # average overall miss latency ((Cycle/Count))
system.cpu4.icache.demandAvgMissLatency::total 126385.308397                       # average overall miss latency ((Cycle/Count))
system.cpu4.icache.overallAvgMissLatency::cpu04.inst 126385.308397                       # average overall miss latency ((Cycle/Count))
system.cpu4.icache.overallAvgMissLatency::total 126385.308397                       # average overall miss latency ((Cycle/Count))
system.cpu4.icache.blockedCycles::no_mshrs         4804                       # number of cycles access was blocked (Cycle)
system.cpu4.icache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu4.icache.blockedCauses::no_mshrs           34                       # number of times access was blocked (Count)
system.cpu4.icache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu4.icache.avgBlocked::no_mshrs    141.294118                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu4.icache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu4.icache.writebacks::writebacks         6886                       # number of writebacks (Count)
system.cpu4.icache.writebacks::total             6886                       # number of writebacks (Count)
system.cpu4.icache.demandMshrHits::cpu04.inst         1144                       # number of demand (read+write) MSHR hits (Count)
system.cpu4.icache.demandMshrHits::total         1144                       # number of demand (read+write) MSHR hits (Count)
system.cpu4.icache.overallMshrHits::cpu04.inst         1144                       # number of overall MSHR hits (Count)
system.cpu4.icache.overallMshrHits::total         1144                       # number of overall MSHR hits (Count)
system.cpu4.icache.demandMshrMisses::cpu04.inst         7157                       # number of demand (read+write) MSHR misses (Count)
system.cpu4.icache.demandMshrMisses::total         7157                       # number of demand (read+write) MSHR misses (Count)
system.cpu4.icache.overallMshrMisses::cpu04.inst         7157                       # number of overall MSHR misses (Count)
system.cpu4.icache.overallMshrMisses::total         7157                       # number of overall MSHR misses (Count)
system.cpu4.icache.demandMshrMissLatency::cpu04.inst    878706445                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu4.icache.demandMshrMissLatency::total    878706445                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu4.icache.overallMshrMissLatency::cpu04.inst    878706445                       # number of overall MSHR miss ticks (Tick)
system.cpu4.icache.overallMshrMissLatency::total    878706445                       # number of overall MSHR miss ticks (Tick)
system.cpu4.icache.demandMshrMissRate::cpu04.inst     0.000224                       # mshr miss ratio for demand accesses (Ratio)
system.cpu4.icache.demandMshrMissRate::total     0.000224                       # mshr miss ratio for demand accesses (Ratio)
system.cpu4.icache.overallMshrMissRate::cpu04.inst     0.000224                       # mshr miss ratio for overall accesses (Ratio)
system.cpu4.icache.overallMshrMissRate::total     0.000224                       # mshr miss ratio for overall accesses (Ratio)
system.cpu4.icache.demandAvgMshrMissLatency::cpu04.inst 122775.806204                       # average overall mshr miss latency ((Cycle/Count))
system.cpu4.icache.demandAvgMshrMissLatency::total 122775.806204                       # average overall mshr miss latency ((Cycle/Count))
system.cpu4.icache.overallAvgMshrMissLatency::cpu04.inst 122775.806204                       # average overall mshr miss latency ((Cycle/Count))
system.cpu4.icache.overallAvgMshrMissLatency::total 122775.806204                       # average overall mshr miss latency ((Cycle/Count))
system.cpu4.icache.replacements                  6886                       # number of replacements (Count)
system.cpu4.icache.ReadReq.hits::cpu04.inst     31994751                       # number of ReadReq hits (Count)
system.cpu4.icache.ReadReq.hits::total       31994751                       # number of ReadReq hits (Count)
system.cpu4.icache.ReadReq.misses::cpu04.inst         8301                       # number of ReadReq misses (Count)
system.cpu4.icache.ReadReq.misses::total         8301                       # number of ReadReq misses (Count)
system.cpu4.icache.ReadReq.missLatency::cpu04.inst   1049124445                       # number of ReadReq miss ticks (Tick)
system.cpu4.icache.ReadReq.missLatency::total   1049124445                       # number of ReadReq miss ticks (Tick)
system.cpu4.icache.ReadReq.accesses::cpu04.inst     32003052                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu4.icache.ReadReq.accesses::total     32003052                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu4.icache.ReadReq.missRate::cpu04.inst     0.000259                       # miss rate for ReadReq accesses (Ratio)
system.cpu4.icache.ReadReq.missRate::total     0.000259                       # miss rate for ReadReq accesses (Ratio)
system.cpu4.icache.ReadReq.avgMissLatency::cpu04.inst 126385.308397                       # average ReadReq miss latency ((Tick/Count))
system.cpu4.icache.ReadReq.avgMissLatency::total 126385.308397                       # average ReadReq miss latency ((Tick/Count))
system.cpu4.icache.ReadReq.mshrHits::cpu04.inst         1144                       # number of ReadReq MSHR hits (Count)
system.cpu4.icache.ReadReq.mshrHits::total         1144                       # number of ReadReq MSHR hits (Count)
system.cpu4.icache.ReadReq.mshrMisses::cpu04.inst         7157                       # number of ReadReq MSHR misses (Count)
system.cpu4.icache.ReadReq.mshrMisses::total         7157                       # number of ReadReq MSHR misses (Count)
system.cpu4.icache.ReadReq.mshrMissLatency::cpu04.inst    878706445                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu4.icache.ReadReq.mshrMissLatency::total    878706445                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu4.icache.ReadReq.mshrMissRate::cpu04.inst     0.000224                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu4.icache.ReadReq.mshrMissRate::total     0.000224                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu4.icache.ReadReq.avgMshrMissLatency::cpu04.inst 122775.806204                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu4.icache.ReadReq.avgMshrMissLatency::total 122775.806204                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu4.icache.power_state.pwrStateResidencyTicks::UNDEFINED 279971790000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu4.icache.tags.tagsInUse          255.962703                       # Average ticks per tags in use ((Tick/Count))
system.cpu4.icache.tags.totalRefs            32001908                       # Total number of references to valid blocks. (Count)
system.cpu4.icache.tags.sampledRefs              7157                       # Sample count of references to valid blocks. (Count)
system.cpu4.icache.tags.avgRefs           4471.413721                       # Average number of references to valid blocks. ((Count/Count))
system.cpu4.icache.tags.warmupTick             132500                       # The tick when the warmup percentage was hit. (Tick)
system.cpu4.icache.tags.occupancies::cpu04.inst   255.962703                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.cpu4.icache.tags.avgOccs::cpu04.inst     0.999854                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu4.icache.tags.avgOccs::total       0.999854                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu4.icache.tags.occupanciesTaskId::1024          256                       # Occupied blocks per task id (Count)
system.cpu4.icache.tags.ageTaskId_1024::2          158                       # Occupied blocks per task id, per block age (Count)
system.cpu4.icache.tags.ageTaskId_1024::4           98                       # Occupied blocks per task id, per block age (Count)
system.cpu4.icache.tags.ratioOccsTaskId::1024            1                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.cpu4.icache.tags.tagAccesses          64013261                       # Number of tag accesses (Count)
system.cpu4.icache.tags.dataAccesses         64013261                       # Number of data accesses (Count)
system.cpu4.icache.tags.power_state.pwrStateResidencyTicks::UNDEFINED 279971790000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu4.iew.idleCycles                          0                       # Number of cycles IEW is idle (Cycle)
system.cpu4.iew.squashCycles                    59073                       # Number of cycles IEW is squashing (Cycle)
system.cpu4.iew.blockCycles                  39277990                       # Number of cycles IEW is blocking (Cycle)
system.cpu4.iew.unblockCycles                81676603                       # Number of cycles IEW is unblocking (Cycle)
system.cpu4.iew.dispatchedInsts             385425258                       # Number of instructions dispatched to IQ (Count)
system.cpu4.iew.dispSquashedInsts                1874                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu4.iew.dispLoadInsts                55032813                       # Number of dispatched load instructions (Count)
system.cpu4.iew.dispStoreInsts               31927480                       # Number of dispatched store instructions (Count)
system.cpu4.iew.dispNonSpecInsts                 1421                       # Number of dispatched non-speculative instructions (Count)
system.cpu4.iew.iqFullEvents                  1100670                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu4.iew.lsqFullEvents                79571770                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu4.iew.memOrderViolationEvents          1531                       # Number of memory order violations (Count)
system.cpu4.iew.predictedTakenIncorrect         10805                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu4.iew.predictedNotTakenIncorrect        24073                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu4.iew.branchMispredicts               34878                       # Number of branch mispredicts detected at execute (Count)
system.cpu4.iew.instsToCommit               384713095                       # Cumulative count of insts sent to commit (Count)
system.cpu4.iew.writebackCount              383961779                       # Cumulative count of insts written-back (Count)
system.cpu4.iew.producerInst                248823026                       # Number of instructions producing a value (Count)
system.cpu4.iew.consumerInst                418553563                       # Number of instructions consuming a value (Count)
system.cpu4.iew.wbRate                       0.687252                       # Insts written-back per cycle ((Count/Cycle))
system.cpu4.iew.wbFanout                     0.594483                       # Average fanout of values written-back ((Count/Count))
system.cpu4.interrupts.clk_domain.clock          8000                       # Clock period in ticks (Tick)
system.cpu4.itb_walker_cache.blockedCycles::no_mshrs            0                       # number of cycles access was blocked (Cycle)
system.cpu4.itb_walker_cache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu4.itb_walker_cache.blockedCauses::no_mshrs            0                       # number of times access was blocked (Count)
system.cpu4.itb_walker_cache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu4.itb_walker_cache.avgBlocked::no_mshrs          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu4.itb_walker_cache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu4.itb_walker_cache.replacements            0                       # number of replacements (Count)
system.cpu4.itb_walker_cache.power_state.pwrStateResidencyTicks::UNDEFINED 279971790000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu4.itb_walker_cache.tags.tagsInUse            0                       # Average ticks per tags in use ((Tick/Count))
system.cpu4.itb_walker_cache.tags.totalRefs            0                       # Total number of references to valid blocks. (Count)
system.cpu4.itb_walker_cache.tags.sampledRefs            0                       # Sample count of references to valid blocks. (Count)
system.cpu4.itb_walker_cache.tags.avgRefs          nan                       # Average number of references to valid blocks. ((Count/Count))
system.cpu4.itb_walker_cache.tags.warmupTick            0                       # The tick when the warmup percentage was hit. (Tick)
system.cpu4.itb_walker_cache.tags.tagAccesses            0                       # Number of tag accesses (Count)
system.cpu4.itb_walker_cache.tags.dataAccesses            0                       # Number of data accesses (Count)
system.cpu4.itb_walker_cache.tags.power_state.pwrStateResidencyTicks::UNDEFINED 279971790000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu4.lsq0.forwLoads                   20524445                       # Number of loads that had data forwarded from stores (Count)
system.cpu4.lsq0.squashedLoads                 283146                       # Number of loads squashed (Count)
system.cpu4.lsq0.ignoredResponses                 136                       # Number of memory responses ignored because the instruction is squashed (Count)
system.cpu4.lsq0.memOrderViolation               1531                       # Number of memory ordering violations (Count)
system.cpu4.lsq0.squashedStores                922065                       # Number of stores squashed (Count)
system.cpu4.lsq0.rescheduledLoads                  80                       # Number of loads that were rescheduled (Count)
system.cpu4.lsq0.blockedByCache               2802535                       # Number of times an access to memory failed due to the cache being blocked (Count)
system.cpu4.lsq0.loadToUse::samples          54749664                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::mean            33.082649                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::stdev           91.285652                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::0-9              40077609     73.20%     73.20% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::10-19              316338      0.58%     73.78% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::20-29              529956      0.97%     74.75% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::30-39              965170      1.76%     76.51% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::40-49             1253759      2.29%     78.80% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::50-59              999002      1.82%     80.62% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::60-69              996926      1.82%     82.45% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::70-79              990953      1.81%     84.26% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::80-89              699320      1.28%     85.53% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::90-99              752221      1.37%     86.91% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::100-109            764025      1.40%     88.30% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::110-119            815119      1.49%     89.79% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::120-129            771933      1.41%     91.20% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::130-139            859585      1.57%     92.77% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::140-149            826613      1.51%     94.28% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::150-159            578848      1.06%     95.34% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::160-169            417694      0.76%     96.10% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::170-179            374652      0.68%     96.79% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::180-189            365959      0.67%     97.45% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::190-199            290960      0.53%     97.99% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::200-209            188339      0.34%     98.33% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::210-219            140598      0.26%     98.59% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::220-229            121768      0.22%     98.81% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::230-239             91327      0.17%     98.98% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::240-249             64107      0.12%     99.09% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::250-259             46307      0.08%     99.18% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::260-269             37504      0.07%     99.25% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::270-279             31642      0.06%     99.30% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::280-289             27525      0.05%     99.35% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::290-299             24845      0.05%     99.40% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::overflows          329060      0.60%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::min_value               2                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::max_value            5889                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.lsq0.loadToUse::total            54749664                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu4.mmu.dtb.rdAccesses               55040999                       # TLB accesses on read requests (Count)
